smiles,static_polarizability,fitness,static_polarizability_pred_original,vdw_volume,refractive_index,mw
C=CC(=O)Oc1ccc(Sc2ccnc3cc(Cl)ccc23)cc1O,0.2387475876194655,-0.023535052122432,22.18584405602153,297.6669775215125,1.34481954236039,357.81800000000004
C=CC(=O)Oc1ccccc1Sc1c(Br)cc(Cl)c2cccnc12,0.2387475876194655,-0.0278032215255082,22.18584405602153,306.3076018102964,1.3340925472554268,420.7150000000001
C=CC(=O)Oc1ccc(Cc2c(Br)cc(Cl)c3cccnc23)cc1,0.2387475876194655,-0.0286050232070267,22.18584405602153,303.38697115500844,1.3376415582704368,402.675
C=CC(=O)Oc1ccc(-c2ccnc3cc(Cl)ccc23)c(O)c1,0.2387475876194655,-0.0550821928364455,22.18584405602153,275.43803247203624,1.3759433880347,325.75100000000003
C=CC(=O)OCc1ccc(Cc2ccc3cc(C#N)c(=O)oc3c2)cc1,0.2387475876194655,-0.0557752342837632,22.18584405602153,307.8967434320412,1.3321932133585008,345.35400000000004
C=CC(=O)OCc1ccc(OCc2ccc(Cc3ccnc4cc(Cl)ccc34)cc2)cc1,0.2387475876194655,-0.0681766362803757,22.18584405602153,399.6401408018297,1.250392058386106,443.93
C=CC(=O)Oc1ccc(-c2ccc(Oc3ccc4ccccc4c3)cc2O)c(O)c1,0.2387475876194655,-0.0781606825011551,22.18584405602153,353.83065648479857,1.2854161462377498,398.4140000000001
C=CC(=O)Oc1ccc(-c2ccc(O)c3ncccc23)cc1O,0.2387475876194655,-0.0799839289801896,22.18584405602153,269.86450489426187,1.384669163053726,307.30500000000006
C=CC(=O)Oc1ccc(Oc2ccc(-c3c(Br)cc(Cl)c4cccnc34)cc2O)cc1O,0.2387475876194655,-0.1265679093020737,22.18584405602153,386.3720728148486,1.2596086476080426,512.7430000000002
C=CC(=O)Oc1ccc(Oc2ccc3c(C)cc(=O)oc3c2)cc1,0.2433325539687379,-0.0005084682842985,22.532734972384667,282.5259387203888,1.3718026355878516,322.31600000000003
C=CC(=O)Oc1ccc(Oc2ccc(Oc3ccc(C=O)cc3)cc2)cc1,0.2433325539687379,-0.0010646094223753,22.532734972384667,322.891862840541,1.3207008349973672,360.365
C=CC(=O)Oc1ccc(Sc2ccc3c(C)cc(=O)oc3c2)cc1,0.2433325539687379,-0.0071846138098939,22.532734972384667,293.1462629775181,1.3568120581153813,338.384
C=CC(=O)Oc1ccc(Sc2ccc3ccccc3c2)cc1,0.2433325539687379,-0.0079778026202424,22.532734972384667,271.3144512389293,1.3890910774015142,306.386
C=CC(=O)Oc1ccc(-c2ccc(OCc3ccccc3)c(O)c2)cc1O,0.2433325539687379,-0.019653867616345,22.532734972384667,330.00141271706866,1.313143230467685,362.38100000000003
C=CC(=O)Oc1ccc(Sc2ccc3c(C)cc(=O)oc3c2)cc1O,0.2433325539687379,-0.0221145857712523,22.532734972384667,301.5985583930133,1.3457342330155582,354.38300000000004
C=CC(=O)Oc1ccc(S[c-]2cccc2)cc1,0.2433325539687379,-0.0415929149249299,22.532734972384667,218.0726857483741,1.500393089390922,243.307
C=CC(=O)Oc1ccc(OCc2ccccc2)cc1O,0.2433325539687379,-0.0448762367823823,22.532734972384667,246.8941508795842,1.4331139472409502,270.284
C=CC(=O)Oc1ccc(-c2ccc(O[c-]3cccc3)cc2)cc1,0.2433325539687379,-0.0473244298836485,22.532734972384667,279.71987303622353,1.3759807681451086,303.337
C=CC(=O)Oc1ccc(O[c-]2cccc2)cc1,0.2433325539687379,-0.0515003393748506,22.532734972384667,207.78504714969785,1.5299715748366858,227.239
C=CC(=O)Oc1ccc(OCc2ccccc2)c(O)c1,0.2433325539687379,-0.060854975447963,22.532734972384667,248.1630677692553,1.4305759096755384,270.284
C=CC(=O)Oc1ccc(-[c-]2cccc2)cc1O,0.2433325539687379,-0.0653252791026338,22.532734972384667,207.95557447384456,1.529451767099867,227.239
C=CC(=O)Oc1ccc(Oc2ccc(Oc3ccc4ccccc4c3)cc2)cc1,0.2433325539687379,-0.0706552971741453,22.532734972384667,347.54507238199574,1.2959549807157569,382.415
C=CC(=O)OCc1ccc(O)c2ncccc12,0.2433325539687379,-0.0865878354171021,22.532734972384667,204.78791117475885,1.5392834529191124,229.23499999999999
C=CC(=O)Oc1ccc(C=O)cc1,0.2433325539687379,-0.0948990176776155,22.532734972384667,160.6669838537835,1.7307778529745474,176.171
C=CC(=O)Oc1ccc(Oc2ccc(Sc3ccc4ccccc4c3)c(O)c2)c(O)c1,0.2433325539687379,-0.1003999818703428,22.532734972384667,371.9870421932527,1.2749675085550185,430.4810000000001
C=CC(=O)Oc1ccc(Oc2ccc(-c3ccc(OCc4ccccc4)cc3O)c(O)c2)c(O)c1,0.2433325539687379,-0.1015842665573851,22.532734972384667,415.7402374022504,1.2440620293975306,470.47700000000015
C=CC(=O)Oc1ccc(Oc2ccc(-c3ccc(OCc4ccc(O)c5ncccc45)c(O)c3)cc2O)cc1O,0.2433325539687379,-0.1294001747509733,22.532734972384667,467.493882421038,1.2154874965022686,537.5240000000002
C=CC(=O)Oc1ccc(-c2ccc(Oc3ccc(Oc4ccc5c(C)cc(=O)oc5c4)c(O)c3)c(O)c2)cc1O,0.2433325539687379,-0.1398961056610838,22.532734972384667,459.6624015081737,1.2193702196417784,538.5080000000003
C=CC(=O)Oc1ccc(Oc2ccc(-c3ccc(O[c-]4cccc4)c(O)c3)cc2O)cc1O,0.2433325539687379,-0.1469016779801146,22.532734972384667,384.1907777135022,1.2655776252690387,443.4310000000001
C=CC(=O)Oc1ccc(OCCCN=Cc2ccc(OC)cc2)cc1O,0.2456250371433741,-0.0081506850220209,22.70618043056624,331.5615896823252,1.3141555995119436,355.39000000000004
C=CC(=O)OCc1cc(C=O)cc(OC)c1-c1cccc(F)c1F,0.2456250371433741,-0.0116306128002649,22.70618043056624,285.27094092575555,1.37097148536075,332.302
