id,cmpdname,smiles_component,smiles_normalized,mw,mf,polararea,complexity,Category,Reason,Category_renormalized,Reason_renormalized
21318161,"2,4,6-Trinitrophenyl acrylate",C=CC(=O)OC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],C=CC(=O)OC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],283.15,C9H5N3O8,164.0,424.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
21459496,"2,3-Difluorobiphenyl-4'-yl acrylate",C=CC(=O)OC1=CC=C(C=C1)C2=C(C(=CC=C2)F)F,C=CC(=O)OC1=CC=C(C=C1)C2=C(C(=CC=C2)F)F,260.23,C15H10F2O2,26.3,324.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
23284159,p-Hydroxystyrene t-butyl Acrylate,C=CC1=CC=C(C=C1)O,C=CC1=CC=C(C=C1)O,248.32,C15H20O3,46.5,210.0,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
53319560,"(E)-ethyl 3-(1-hydroxy-1,3-dihydrobenzo[c][1,2]oxaborol-7-yl)acrylate",B1(C2=C(CO1)C=CC=C2/C=C/C(=O)OCC)O,B1(C2=C(CO1)C=CC=C2/C=C/C(=O)OCC)O,232.04,C12H13BO4,55.8,305.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
53702410,"Ethyl 3-ethoxy-2-(2',3',4',6'-tetrafluorobenzoyl)acrylate",CCOC=C(C(=O)C1=C(C(=C(C=C1F)F)F)F)C(=O)OCC,CCOC=C(C(=O)C1=C(C(=C(C=C1F)F)F)F)C(=O)OCC,320.24,C14H12F4O4,52.6,441.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
53739964,"Methyl 3-(1-pyrrolidinyl)-2-(2,4-dichloro-5-fluorobenzoyl)acrylate",COC(=O)C(=CN1CCCC1)C(=O)C2=CC(=C(C=C2Cl)Cl)F,COC(=O)C(=CN1CCCC1)C(=O)C2=CC(=C(C=C2Cl)Cl)F,346.2,C15H14Cl2FNO3,46.6,466.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
53774316,Methyl 2-[2-(tetrahydropyran-2-yloxy)-phenyl]-3-fluoromethoxy-acrylate,COC(=O)C(=COCF)C1=CC=CC=C1OC2CCCCO2,COC(=O)C(=COCF)C1=CC=CC=C1OC2CCCCO2,310.32,C16H19FO5,54.0,385.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
53814737,"Ethyl 3-ethoxy-2-(2',5'-difluoro-3'-methyl-4'-nitrobenzoyl)acrylate",CCOC=C(C(=O)C1=CC(=C(C(=C1F)C)[N+](=O)[O-])F)C(=O)OCC,CCOC=C(C(=O)C1=CC(=C(C(=C1F)C)[N+](=O)[O-])F)C(=O)OCC,343.28,C15H15F2NO6,98.4,519.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
53830954,"Ethyl 2-(3,5-dichloro-2,4-difluoro-benzoyl)-3-ethoxy-acrylate",CCOC=C(C(=O)C1=CC(=C(C(=C1F)Cl)F)Cl)C(=O)OCC,CCOC=C(C(=O)C1=CC(=C(C(=C1F)Cl)F)Cl)C(=O)OCC,353.1,C14H12Cl2F2O4,52.6,445.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
54381247,Methyl 2-(2-hydroxyphenyl)-3-fluoromethoxy-acrylate,COC(=O)C(=COCF)C1=CC=CC=C1O,COC(=O)C(=COCF)C1=CC=CC=C1O,226.2,C11H11FO4,55.8,265.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
54421298,Ethyl 3-{1-[2-bis(4-fluorophenyl)methoxyethyl]-4-piperidyl}acrylate,CCOC(=O)C=CC1CCN(CC1)CCOC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,CCOC(=O)C=CC1CCN(CC1)CCOC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,429.5,C25H29F2NO3,38.8,527.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
57198481,2-Methacryloyloxypropyl acrylate,CC(COC(=O)C=C)OC(=O)C(=C)C,C=CC(=O)OCC(C)OC(=O)C=C,198.22,C10H14O4,52.6,255.0,Mixed Acrylate/Methacrylate,Contains both moieties,Acrylate,Found Acrylate moiety
59327067,(E)-methyl 3-(2-fluoropyridin-3-yl)acrylate,COC(=O)/C=C/C1=C(N=CC=C1)F,COC(=O)/C=C/C1=C(N=CC=C1)F,181.16,C9H8FNO2,39.2,206.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
66927214,(E)-methyl3-(7-fluoro-4-methoxy-1-ethyl-3-(2-(methylamino)-2-oxoethyl)-1H-indol-5-yl)acrylate,CCN1C=C(C2=C(C(=CC(=C21)F)/C=C/C(=O)OC)OC)CC(=O)NC,CCN1C=C(C2=C(C(=CC(=C21)F)/C=C/C(=O)OC)OC)CC(=O)NC,348.4,C18H21FN2O4,69.6,513.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
