id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type
155509,,C=CC(=O)OC[C@@H]1CCCN2[C@@H]1CCCC2,,2,426.712875992,488.265266511,452.036539895,455.67156079933335,homopoly
53702279,,CCCCCC=CCC=CCCCCCCCCOC(=O)C=C,,0,210.688153205,170.140975488,174.589561725,185.1395634726667,monomer
76133726,,C=CC(=O)OCCCCCCCF,,0,66.7086461741,87.5454501392,105.67666447,86.64358692776666,monomer
22728778,,C=CC(=O)OCCN1C(=O)CCC1=O,,2,342.62337956,302.83106331,399.190975652,348.21513950733333,homopoly
69446413,,CC(OC(=O)C=C)OC(=O)C1=CC=CC2=CC=CC=C21,,0,96.6381129325,166.646099697,184.364055136,149.21608925516668,monomer
3015131,,C=CC(=O)OC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,,2,510.716134198,479.337063572,859.888287639,616.647161803,homopoly
10192585,,CC(C)(CO)COC(=O)C=C,,2,286.094135441,275.592419489,310.607942123,290.764832351,homopoly
18366398,,C=CC(=O)OI,,0,37.3174319994,46.3186920034,58.5483649498,47.394829650866676,monomer
20607910,,C=CC(=O)OCCOC1=CC=C(C=C1)C2=CC=CC=C2,,0,172.038323894,182.956919191,143.445998337,166.14708047399998,monomer
13568817,,C=C/C=C/OC(=O)C=C,,1,173.504436731,131.250605121,124.965053337,143.24003172966664,homopoly
4582075,,CC1=C(C=CC(=C1)N=NC2=CC=C(C=C2)N=NC3=CC=CC=C3)OC(=O)C=C,,1,382.483698784,470.493066932,987.813600444,613.5967887200001,homopoly
87565,,CCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,,1,453.270437752,422.018971592,397.592585925,424.293998423,homopoly
129722417,,C=CC(=O)OC(=C=O)OC(=O)C=C,,0,93.1826201454,66.7522241705,108.702446847,89.54576372096666,monomer
135398202,,CCOC(=O)C(C)(COC(=O)C=C)COC(=O)C=C,,2,591.527709377,436.729949136,424.419691619,484.2257833773333,homopoly
129851461,,C=CC(=O)OC1=CC=C(C=C1)N2C=NC(=C2C3=CC=CC=C3)C4=CC=CC=C4,,1,328.099330553,538.44566174,564.648084676,477.0643589896667,homopoly
86600777,,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,,0,215.509565837,223.586455308,202.412315604,213.83611224966668,monomer
68649062,,CC(C)C(OC(=O)C=C)OC12CC3CC(C1)CC(C3)C2,,2,556.692725158,584.484698838,558.401175697,566.5261998976666,homopoly
129815894,,C=CC(=O)OC(=C1C=CC=C1)O,,0,90.0056649985,60.4936352182,113.716574639,88.07195828523334,monomer
129675135,,C=CC1=C(C2=CC=CC=C2O1)OC(=O)C=C,,2,296.149340534,632.180691154,619.243701555,515.857911081,homopoly
5748640,,C[C@H](CO)OC(=O)C=C,,1,95.7275964268,114.776784108,123.767069301,111.42381661193333,homopoly
