id,smiles,chain_size,xx,yy,zz,static_polarizability
168442280,C=CC(=O)OCCC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,1,656.29671611,591.95660515,504.724411525,584.3259109283334
169432235,CC1=CC(=CC(=C1/C=C/C(=O)OC(C)(C)C)OC)N2CCOCC2,2,712.549888764,702.40992435,748.923646715,721.2944866096667
10955115,CC(C)(C)OC(=O)C(=C)CBr,0,72.7320835027,86.0769004165,88.2965882878,82.368524069
91684575,CCOC(=O)/C=C/C1=CC=C(C=C1)OCC2=CC(=CC=C2)Br,0,163.620426019,258.999844271,170.118323951,197.57953141366667
90404471,CC1=C(C=CC(=C1)C=C(C(=O)OC)N=[N+]=[N-])OC,2,554.215389776,526.287689466,464.581536477,515.0282052396666
124204086,C=CC(=O)O.[Na],0,27.0909967813,49.9556002713,6.97993767207,28.008844908223328
67352199,COC(=O)C(=C)NC(=O)C1=CC(=NO1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3F,2,1107.55168463,691.11005278,1130.77207832,976.4779385766666
23114645,COC(=O)/C=C/C1=CN=C(C=C1)C(C2=C(C=CC(=C2)F)F)S(=O)(=O)C3=CC=C(C=C3)Cl,1,461.726946034,502.389266107,443.788054439,469.30142219333334
91684677,C=CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=CC=C2F)I,2,934.60863509,687.359057435,594.346612395,738.7714349733333
59258973,CCOC(=O)/C=C/C1=C(N=C(N=C1NC2CCC(CC2)O)N)C,0,168.301095524,240.621111572,154.008163041,187.64345671233332
129851645,CC(N)OC(=O)C(=C(C)C)CC1=CC=CC=C1,2,510.132265593,463.922234987,556.799307088,510.284602556
54365744,CCOC(=O)C=CC1=CN=C(C=C1)C,1,225.831348533,178.366264318,186.119987935,196.77253359533336
86603679,CCOC(=O)/C=C/C1=CN=C(N=C1)N[C@@H]2CCN(C2)CC3=CC=CC=C3,0,174.628152718,229.437381848,259.950741351,221.33875863900002
22171739,CCOC(=O)C(=C)OC(=O)C(=C)C,1,181.688735602,168.901728594,157.867286674,169.48591695666667
136393725,CCOC(=O)C(=C(C1=CC(=C(C=C1F)N2C=CC=C2)F)O)C=NC3CC3,0,102.523663008,165.378995716,411.736469592,226.54637610533334
122451899,CCOC(=O)/C=C/C1CC2=C(O1)C(=CC(=C2)C3=CC(=CC=C3)S(=O)(=O)N4CCOCC4)Cl,0,343.909285912,249.183928031,234.874277442,275.98916379499997
67128828,COC(=O)/C=C/C1=CN=C(C=N1)N[C@@H]2CCNC2,1,288.403853202,239.058394958,241.843492357,256.435246839
59317428,CC(=O)OC1=CC=C(C=C1)CCOC(=O)C=C,1,292.014300541,239.383269278,153.548356951,228.3153089233333
86602405,CCN1C2=NC(=C(C(=C2C=N1)C3=CN=CC(=C3)C)/C=C/C(=O)OCC)COCC4CC4,2,998.276256322,956.565085433,852.897213812,935.9128518556666
15541463,COC1=CC(=CC(=C1)/C=C(/C2=CC=C(C=C2)O)\C(=O)OC)OC,1,353.561505856,354.400476433,306.842396816,338.2681263683333
129774974,C=CC(=O)OC(OC(=O)C=C)(OC(=O)C=C)F,2,387.292050368,343.447945594,384.07251855,371.604171504
2776049,C=CC(=O)OCC1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,2,377.671084193,377.917100549,347.75005158,367.77941210733337
137178945,CCOC(=O)C(=C(C1=C(N=CC=C1)Cl)O)C=NC2=CC(=CC=C2)Br,2,700.08319501,829.839606834,802.675110055,777.5326372996666
69743990,COC(=O)/C=C/C1=CC(=C(C=C1)N)O,0,161.687932451,115.485342343,82.0306536975,119.7346428305
53401111,CCOC(=O)C=CC(=O)Cl,1,137.342220177,107.932106226,130.326129779,125.20015206066667
167993379,CC1=CC=C(C=C1)/C=C/C(=O)OC(CN2CCC(CC2)C3=CC=CC=C3)C4=CC=CC=C4,2,994.352757756,867.29955479,1141.39350521,1001.0152725853333
50879088,CCOC(=O)/C=C/C1=CC=C(O1)C2=C(C=C(C=C2)OC)Br,0,224.632989109,175.941654602,214.857175477,205.1439397293333
11253837,C=C(CBr)C(=O)OCC1=CC=CC=C1,1,181.869487817,241.706174898,201.440693902,208.338785539
5319874,C1=CC(=CC=C1/C=C/C(=O)OCC(CO)O)O,2,524.772229556,407.310819767,399.360145819,443.81439838066666
137047,CCOC(=O)C=C(C(F)(F)F)C(F)(F)F,1,115.874154687,135.271891585,127.745463233,126.29716983499999
58503800,CC(C)OC1=NC(=CC(=C1)C2=NN(C=N2)/C=C\C(=O)OC(C)C)Cl,1,323.561403304,296.373659681,464.587139654,361.5074008796667
139593712,CCOC(=O)/C=C/N1C=CC2=C1CCCC2,1,194.595669685,269.571264572,223.881258443,229.34939756666665
138858043,CCOC(=O)C(=C)CC1=CC=C2N1C=CC=C2,2,606.894754823,409.005784116,513.961370018,509.95396965233334
131700037,CCOC(=O)C(=C)C1=CC=CC=C1I,2,435.707612505,497.703624325,442.491505013,458.634247281
