,y,pred
494,0.31017858,0.27834314
495,0.31027955,0.32824385
496,0.31029263,0.3215828
497,0.3107534,0.3348307
498,0.3110253,0.29795754
499,0.31108376,0.33364138
500,0.3110958,0.30879134
501,0.311476,0.3091913
502,0.31153712,0.3275277
503,0.31167313,0.293306
504,0.31182793,0.3262855
505,0.31190518,0.31019592
506,0.31209165,0.28996745
507,0.31211987,0.33777145
508,0.3124115,0.28011435
509,0.31251034,0.34577554
510,0.3125355,0.33399424
511,0.31275365,0.4768652
512,0.31310853,0.30937904
513,0.3137985,0.2967344
514,0.3138311,0.32033572
515,0.3139268,0.29965925
516,0.31395477,0.31690693
517,0.3140284,0.3331001
518,0.3141231,0.2961943
519,0.31415135,0.29066715
520,0.31417298,0.33209926
521,0.31431282,0.31462082
522,0.3143256,0.29863456
523,0.31437394,0.30569044
524,0.31449604,0.32282823
525,0.31460682,0.29145458
526,0.31466916,0.31571972
527,0.31472698,0.30400428
528,0.31477273,0.28610897
529,0.31507453,0.32976905
530,0.31524318,0.32226247
531,0.31527507,0.33580863
532,0.3153724,0.3102088
533,0.31554186,0.3169251
534,0.3157143,0.30065852
535,0.315903,0.3466893
536,0.3159253,0.2832419
537,0.3159696,0.28680348
538,0.31627104,0.29986775
539,0.31649715,0.37974152
540,0.31660283,0.30753317
541,0.31672174,0.24620734
542,0.31676176,0.31935987
543,0.3168077,0.33548546
544,0.31684056,0.28975567
545,0.31724256,0.3082535
546,0.31730533,0.31646526
547,0.3174758,0.3303593
548,0.31755567,0.33444417
549,0.3179655,0.34776932
550,0.31802842,0.35205713
551,0.31807923,0.30374023
552,0.31856042,0.32221574
553,0.31922325,0.3321364
554,0.31927913,0.32525057
555,0.31932923,0.30227438
556,0.3193768,0.31599173
557,0.31954908,0.32045192
558,0.319659,0.33152467
559,0.31977376,0.33708915
560,0.31984583,0.32876486
561,0.31996655,0.31686354
562,0.32014096,0.30328977
563,0.3202662,0.339098
564,0.32042357,0.3148377
565,0.32044676,0.33900112
566,0.3205087,0.3162236
567,0.320712,0.34442794
568,0.3208155,0.33007112
569,0.32092756,0.33132958
570,0.3210176,0.34561333
571,0.32102966,0.30033004
572,0.32104093,0.33983037
573,0.3210582,0.33588827
574,0.32124072,0.3211271
575,0.3212576,0.32094973
576,0.3215959,0.32309383
577,0.32161182,0.3260559
578,0.32169223,0.3304978
579,0.32208332,0.3438588
580,0.32225004,0.32252875
581,0.32315952,0.33954558
582,0.32318345,0.33183265
583,0.32322404,0.3561451
584,0.32333168,0.31858915
585,0.32343122,0.35731608
586,0.32349542,0.33809438
587,0.32352978,0.36697924
588,0.32366437,0.33143848
589,0.323714,0.3390426
