id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,static_polarizability_original
5373059,762715,CCOC(=O)/C=C/C1=CC=C(C=C1)F,CCOC(=O)/C(=C/C1=CC=CC=N1)/C#N,1,168.777900018,190.442550692,222.899462481,0.407384138947112,copoly,194.03997106366668
13369430,53784179,CCOC(=O)/C=C/C1=CC(=NC=C1)C,CCOC(=O)C=CC1=C2C=CC=CN2N=C1C3=CC=CC=C3,1,226.147297922,222.815723778,391.388721802,0.6647191206159548,copoly,280.117247834
5470016,134867802,CN1C2=C(C=C(C=N2)/C=C/C(=O)OC)OC1=O,COC(=O)/C=C/C1=CC(=C(C=C1)O)I,1,205.740892493,236.816869481,231.047929476,0.4985521837341791,copoly,224.5352304833333
102480740,145708151,[2H]C(=C([2H])[13C](=O)OCC(C(F)F)(F)F)[2H],CCOC(=O)/C=C/C1=C(C=NC=C1)F,1,143.616871243,136.70650887,157.943321297,0.2640305346602786,copoly,146.08890047
97034323,36484045,CC(=O)NCCOC1=C(C=C(C=C1)/C=C/C(=O)OC)OC,COC1=C(C=CC(=C1)/C=C/C(=O)OC)OCC2=CC=CC=C2F,1,264.244948054,334.435188053,307.720047525,0.7305381720847045,copoly,302.13339454399994
91684730,15027645,C#CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=C(C=C2)F)Cl,CCCN1C(=O)C(=C2N(C1=O)CCS2)/C=C/C(=O)OCC,1,236.91026355,374.322125941,391.680947302,0.8267161315158749,copoly,334.3044455976667
8588166,118526293,C1=COC(=C1)C2=CC(=NO2)COC(=O)/C=C/C3=CC=CS3,CC(C)(C)OC(=O)/C=C/C1=CN=C(C=C1C(=O)/C(=N/N)/Cl)Cl,1,400.585472381,280.972998327,276.353415063,0.7818709721880304,copoly,319.3039619236667
12157873,11492219,CCOC(=O)/C=C/C1=C(C=CC(=C1)OC)OC,CC(C)(C)OC(=O)NCCOC(=O)C=C,1,222.472533617,192.215952054,239.117843187,0.47882158505650696,copoly,217.93544295266668
68105232,25137630,CCOC(=O)/C=C/C1=C(C=C(C=N1)OC)N,CC(=O)N1C=C(C=N1)/C=C/C(=O)OC,1,227.581685601,220.422475599,142.947091552,0.41618480694107785,copoly,196.9837509173333
21889445,51357408,C=CC(=O)OC1CC(=O)OC1,COC(=O)/C=C/C1=C(C=C(C=C1)Cl)C=O,1,152.604222058,153.866991208,187.228960773,0.31927148480048434,copoly,164.56672467966666
17841663,91684730,C=CC(=O)OC12CCC(C1)C=C2,C#CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=C(C=C2)F)Cl,1,310.040124888,224.360908728,243.496387225,0.6024817041140751,copoly,259.29914028033335
129773825,53784179,C=CC(=O)OCC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,CCOC(=O)C=CC1=C2C=CC=CN2N=C1C3=CC=CC=C3,1,310.184680583,309.713993936,348.851942419,0.7926720600431344,copoly,322.91687231266667
58524967,169432242,CCOC(=O)/C=C/C1=CN=C2C(=C1Cl)C=CN2,CC(C)(C)OC(=O)/C=C/C1=C(C=CC2=C1C=NC=C2)OC,1,193.539166533,357.131941404,307.9257644,0.6829008834476159,copoly,286.1989574456666
53884840,91684777,CCOC(=O)C=CC1=C(N=C(C(=C1)C)C)Cl,C=CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=C(C=C(C=C2)Cl)Cl)Cl,1,280.630147386,349.613429418,319.826740185,0.7740566374627539,copoly,316.690105663
19989416,11816169,C=CC(=O)ON1CCOCC1,CC(C1=CC=CC=C1)OC(=O)C=C,1,172.544422743,180.804566551,135.940375259,0.3148759942180199,copoly,163.096454851
11378874,68105232,C=CC(=O)OCOP(=O)(O)O,CCOC(=O)/C=C/C1=C(C=C(C=N1)OC)N,1,213.092635831,160.245171411,142.907058422,0.341737877882476,copoly,172.081621888
5462840,91684763,CCN(CC)/C=C/C(=O)OCC,COC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=C(C=C2)Cl)I,1,295.893272306,276.216432149,216.374504682,0.6130317241050343,copoly,262.8280697123333
61642,168350,C=CC(=O)OCCOCCO,COC(=O)C=C.C=CC(=O)O,1,138.847748061,141.708923245,124.456671942,0.2308926666339402,copoly,135.00444774933334
12157873,81215,CCOC(=O)/C=C/C1=C(C=CC(=C1)OC)OC,C=CC(=O)OC1=CC=C(C=C1)OC(=O)C=C,1,218.694518611,246.219123132,250.587830742,0.5403024591810875,copoly,238.5004908283333
168422,73655502,CCCCOC(=O)C=C.C=CC1=CC=CC=C1,CCOC(=O)C(=CNC1CC1F)CC2=CC(=C(C(=C2F)F)F)F,1,269.823893751,307.514781245,319.532519886,0.7210422778630255,copoly,298.9570649606667
5353609,762715,COC(=O)/C=C/C1=C(C=CC(=C1)O)O,CCOC(=O)/C(=C/C1=CC=CC=N1)/C#N,1,194.95427612,204.146860254,184.82702319,0.40918610521396725,copoly,194.64271985466667
21546549,53683876,CCCCOC(=O)C=C.CC(=C)C,CC(C)(C)OC(=O)C=CC1=CN=CC=C1,1,206.648326967,244.180820702,179.979589468,0.45590386481720224,copoly,210.26957904566663
171714604,688115,CC(C)(C)C(=C)C(=O)OCBr,CCOC(=O)/C=C/C1=CC=C(C=C1)Br,1,177.86325235,201.382852986,185.828790953,0.39039832001557784,copoly,188.358298763
736715,66801606,C1=C(NC=N1)/C=C/C(=O)O,COC(=O)/C=C/C1=CSC(=N1)C2=C(C=CC=C2Cl)Cl,1,140.662460859,241.485352481,256.386756639,0.4636028655576542,copoly,212.84485665966668
5371085,5376018,COC(=O)/C=C/C1=CN=CN1,CCOC(=O)/C(=C/C1=CC=C(C=C1)F)/F,1,135.119978292,183.149556141,158.607882928,0.3025071541750195,copoly,158.95913912033333
11105675,201471,CCOC(=O)/C=C/C(=O)Cl,CCOC(=O)C=CC1=CC=C(C=C1)Cl,1,123.835529414,206.894135403,167.19688312,0.32348318034652784,copoly,165.975515979
22592697,102480740,CC(=O)OC=C.COC(=O)C=C,[2H]C(=C([2H])[13C](=O)OCC(C(F)F)(F)F)[2H],1,125.425787573,109.281349843,133.108839638,0.19382448826052262,copoly,122.60532568466664
91684772,54406554,CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=C(C=C2)Cl)Cl,CCOC=C(C(=O)C1=CC(=C(C(=C1Cl)C)Cl)F)C(=O)OCC,1,326.842003439,368.691349789,320.546917283,0.8398373359889086,copoly,338.6934235036667
68184384,136403406,CC1=C2C=CC(=CC2=NN1)/C=C/C(=O)OC,CCOC(=O)C(=C(C1=C(C(=C(C=C1F)F)F)F)O)C=NC2CC2,1,285.46071566,263.894182144,246.254195905,0.6201318636909255,copoly,265.20303123633335
169432209,75466392,CC1=C(C(=CC=C1)OC)/C=C/C(=O)OC(C)(C)C,CN(C)/C=C(\C(=O)OC)/S(=O)(=O)C1=CC=C(C=C1)Cl,1,262.513479808,302.678308311,245.430091897,0.6350925100390435,copoly,270.20729333866666
24851557,91685015,CCOC(=O)/C=C/C1=CC=CC=C1I,COC1=C(C(=CC(=C1)/C=C/C(=O)OC)Br)OCC2=CC=CC=C2F,1,356.965037359,288.015917737,255.756853703,0.7248954628877119,copoly,300.24593626633333
10654569,51357408,COC(=O)/C=C\C1=CN=CC=C1,COC(=O)/C=C/C1=C(C=C(C=C1)Cl)C=O,1,174.335689698,196.318397413,197.224294879,0.3931920691076507,copoly,189.29279399666663
21160503,180301,COC(=O)C(=C)C1=CC=C(C=C1)I,CCOC=C(C(=O)OCC)C(F)(F)F,1,257.920944368,134.733207282,149.196763542,0.3672549966589008,copoly,180.61697173066668
699414,58566652,COC1=CC=C(C=C1)/C=C/C(=O)O,CCOC(=O)/C=C/C1=C(C=C(C=C1)O)C2=CC=CC=C2,1,171.323028307,240.381616707,307.168379687,0.5436623018722655,copoly,239.624341567
53253389,86620420,CC(C)(C)OC(=O)C(=C(SC)SC)C#N,COC(=O)/C=C/C1=C(C=NC=C1)N=C=NC2=CC=CC(=C2)C(F)(F)F,1,270.056039001,304.976769804,317.822134651,0.7170399750259102,copoly,297.6183144853333
168350,11310219,COC(=O)C=C.C=CC(=O)O,CCOC(=O)/C=C/C1=CC(=CC=C1)C=O,1,139.233144052,187.210193362,188.99700549,0.3409361492596047,copoly,171.81344763466666
17841663,97034323,C=CC(=O)OC12CCC(C1)C=C2,CC(=O)NCCOC1=C(C=C(C=C1)/C=C/C(=O)OC)OC,1,179.47508483,283.140043089,239.183685589,0.5266473900425775,copoly,233.932937836
91684763,136460192,COC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=C(C=C2)Cl)I,CCOC(=O)/C(=C(/C1=CC(=C(C=C1Cl)Cl)F)\O)/C=NC,1,310.123823375,329.828754579,314.256074638,0.778180600474033,copoly,318.06955086399995
68055331,5470016,C=CC(=O)OC1=C(C(=C(C=C1)F)F)F,CN1C2=C(C=C(C=N2)/C=C/C(=O)OC)OC1=O,1,200.031223934,197.971782631,206.72554421,0.4299142559014366,copoly,201.57618359166668
21401083,90486,CC(=C)C(=O)OC(C(CO)O)O,CCOC(=O)C=CC1=CC2=C(C=C1)OCO2,1,165.83002192,204.150857901,152.676828769,0.34812844876918625,copoly,174.21923619666669
68574715,175956,COC(=O)C=COC1=CC(=CC(=C1)F)F,C=CC(=O)OCCOC(=O)CCC(=O)O,1,142.123803347,183.521733933,206.459586751,0.35754305298896705,copoly,177.368374677
13546469,97034323,CCOC(=O)/C=C/C1=C(C=CN=C1)N,CC(=O)NCCOC1=C(C=C(C=C1)/C=C/C(=O)OC)OC,1,224.354612388,269.134662214,241.644172634,0.5598662513618867,copoly,245.044482412
53829200,86696656,C=CC(=O)ON1CCCCC1,CCOC(=O)/C=C/C1=CC(=C(C=C1)Cl)F,1,213.281847519,144.227188845,186.514248253,0.36941982136500706,copoly,181.3410948723333
5369361,129764696,CCOC(=O)/C=C/C1=CC(=CC=C1)Br,COC(=O)C(=C([N+](=O)[O-])Br)NC1=CC=C(C=C1)Br,1,182.314236355,226.159721819,318.039295937,0.5512759964845845,copoly,242.17108470366668
